科目,20220331,20211231,20201231,20191231
应交税费(元),"累计:12908000000.00 同比:1.24% 环比:-- 单季:12908000000.00, 单季同比:1.24%, 单季环比:--","累计:11685000000.00 同比:2.11% 环比:-0.20% 单季:--, 单季同比:--, 单季环比:--","累计:11444000000.00 同比:-4.88% 环比:11.52% 单季:--, 单季同比:--, 单季环比:--","累计:12031000000.00 同比:28.45% 环比:6.80% 单季:--, 单季同比:--, 单季环比:--"
资产总计(元),"累计:5117949000000.00 同比:11.92% 环比:-- 单季:5117949000000.00, 单季同比:11.92%, 单季环比:--","累计:4921380000000.00 同比:10.13% 环比:1.41% 单季:--, 单季同比:--, 单季环比:--","累计:4468514000000.00 同比:13.44% 环比:2.80% 单季:--, 单季同比:--, 单季环比:--","累计:3939070000000.00 同比:15.22% 环比:6.24% 单季:--, 单季同比:--, 单季环比:--"
负债合计(元),"累计:4711774000000.00 同比:12.18% 环比:-- 单季:4711774000000.00, 单季同比:12.18%, 单季环比:--","累计:4525932000000.00 同比:10.27% 环比:1.38% 单季:--, 单季同比:--, 单季环比:--","累计:4104383000000.00 同比:13.19% 环比:2.91% 单季:--, 单季同比:--, 单季环比:--","累计:3626087000000.00 同比:14.08% 环比:6.04% 单季:--, 单季同比:--, 单季环比:--"
负债及股东权益合计(元),"累计:5117949000000.00 同比:11.92% 环比:-- 单季:5117949000000.00, 单季同比:11.92%, 单季环比:--","累计:4921380000000.00 同比:10.13% 环比:1.41% 单季:--, 单季同比:--, 单季环比:--","累计:4468514000000.00 同比:13.44% 环比:2.80% 单季:--, 单季同比:--, 单季环比:--","累计:3939070000000.00 同比:15.22% 环比:6.24% 单季:--, 单季同比:--, 单季环比:--"
股东权益合计（不含少数股东权益）(元),"累计:406175000000.00 同比:9.01% 环比:-- 单季:406175000000.00, 单季同比:9.01%, 单季环比:--","累计:395448000000.00 同比:8.60% 环比:1.69% 单季:--, 单季同比:--, 单季环比:--","累计:364131000000.00 同比:16.34% 环比:1.49% 单季:--, 单季同比:--, 单季环比:--","累计:312983000000.00 同比:30.39% 环比:8.65% 单季:--, 单季同比:--, 单季环比:--"
股东权益合计（含少数股东权益)(元),"累计:406175000000.00 同比:9.01% 环比:-- 单季:406175000000.00, 单季同比:9.01%, 单季环比:--","累计:395448000000.00 同比:8.60% 环比:1.69% 单季:--, 单季同比:--, 单季环比:--","累计:364131000000.00 同比:16.34% 环比:1.49% 单季:--, 单季同比:--, 单季环比:--","累计:312983000000.00 同比:30.39% 环比:8.65% 单季:--, 单季同比:--, 单季环比:--"
交易性金融资产(元),"累计:399245000000.00 同比:37.62% 环比:-- 单季:399245000000.00, 单季同比:37.62%, 单季环比:--","累计:389703000000.00 同比:25.20% 环比:4.60% 单季:--, 单季同比:--, 单季环比:--","累计:311270000000.00 同比:50.60% 环比:10.01% 单季:--, 单季同比:--, 单季环比:--","累计:206682000000.00 同比:38.93% 环比:15.41% 单季:--, 单季同比:--, 单季环比:--"
交易性金融负债(元),"累计:73630000000.00 同比:44.40% 环比:-- 单季:73630000000.00, 单季同比:44.40%, 单季环比:--","累计:43421000000.00 同比:37.82% 环比:0.61% 单季:--, 单季同比:--, 单季环比:--","累计:31505000000.00 同比:6.11% 环比:-41.05% 单季:--, 单季同比:--, 单季环比:--","累计:29691000000.00 同比:246.25% 环比:-25.99% 单季:--, 单季同比:--, 单季环比:--"
未确认的投资损失(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
未分配利润(元),"累计:164804000000.00 同比:18.32% 环比:-- 单季:164804000000.00, 单季同比:18.32%, 单季环比:--","累计:154377000000.00 同比:17.68% 环比:0.24% 单季:--, 单季同比:--, 单季环比:--","累计:131186000000.00 同比:15.71% 环比:0.40% 单季:--, 单季同比:--, 单季环比:--","累计:113370000000.00 同比:19.29% 环比:-1.67% 单季:--, 单季同比:--, 单季环比:--"
